2026-07-30 10:40:42.764 | INFO     | core.logger:info:35 - Starting JARVIS...
2026-07-30 10:40:42.764 | SUCCESS  | core.logger:success:39 - Logger Working Successfully
2026-07-30 10:40:42.765 | WARNING  | core.logger:warning:43 - This is a warning
2026-07-30 10:40:42.765 | ERROR    | core.logger:error:47 - Sample Error
2026-07-30 10:40:42.766 | DEBUG    | core.logger:debug:51 - Debug Message
2026-07-30 10:41:19.802 | INFO     | core.logger:info:35 - Starting JARVIS...
2026-07-30 10:41:19.804 | SUCCESS  | core.logger:success:39 - Logger Working Successfully
2026-07-30 10:41:19.804 | WARNING  | core.logger:warning:43 - This is a warning
2026-07-30 10:41:19.804 | ERROR    | core.logger:error:47 - Sample Error
2026-07-30 10:41:19.805 | DEBUG    | core.logger:debug:51 - Debug Message
2026-07-30 11:19:04.025 | INFO     | core.logger:info:35 - Listening...
2026-07-30 11:19:11.625 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 11:20:24.465 | SUCCESS  | core.logger:success:39 - You : please open YouTube
2026-07-30 11:23:39.123 | SUCCESS  | core.logger:success:39 - JARVIS Started Successfully
2026-07-30 11:23:45.463 | INFO     | core.logger:info:35 - Listening...
2026-07-30 11:23:54.323 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 11:23:57.028 | WARNING  | core.logger:warning:43 - Couldn't understand.
2026-07-30 11:23:57.222 | INFO     | core.logger:info:35 - Listening...
2026-07-30 11:24:00.854 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 11:24:02.266 | SUCCESS  | core.logger:success:39 - You : hello how r u
2026-07-30 11:24:07.418 | INFO     | core.logger:info:35 - Listening...
2026-07-30 11:24:16.092 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 11:24:18.018 | WARNING  | core.logger:warning:43 - Couldn't understand.
2026-07-30 11:24:18.182 | INFO     | core.logger:info:35 - Listening...
2026-07-30 11:24:22.322 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 11:24:24.307 | WARNING  | core.logger:warning:43 - Couldn't understand.
2026-07-30 11:24:24.505 | INFO     | core.logger:info:35 - Listening...
2026-07-30 11:24:31.158 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 11:24:32.384 | WARNING  | core.logger:warning:43 - Couldn't understand.
2026-07-30 11:24:32.736 | INFO     | core.logger:info:35 - Listening...
2026-07-30 11:24:36.570 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 11:24:38.599 | WARNING  | core.logger:warning:43 - Couldn't understand.
2026-07-30 11:24:38.786 | INFO     | core.logger:info:35 - Listening...
2026-07-30 11:24:42.857 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 11:24:44.667 | WARNING  | core.logger:warning:43 - Couldn't understand.
2026-07-30 11:24:44.867 | INFO     | core.logger:info:35 - Listening...
2026-07-30 11:24:51.092 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 11:24:56.835 | SUCCESS  | core.logger:success:39 - You : my name is Krishna
2026-07-30 11:25:01.630 | INFO     | core.logger:info:35 - Listening...
2026-07-30 11:25:08.130 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 11:25:10.758 | WARNING  | core.logger:warning:43 - Couldn't understand.
2026-07-30 11:25:10.930 | INFO     | core.logger:info:35 - Listening...
2026-07-30 11:25:14.683 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 11:25:15.705 | SUCCESS  | core.logger:success:39 - You : exit
2026-07-30 11:53:49.479 | SUCCESS  | core.logger:success:39 - JARVIS Started Successfully
2026-07-30 11:53:55.682 | INFO     | core.logger:info:35 - Listening...
2026-07-30 11:54:06.400 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 11:54:11.294 | SUCCESS  | core.logger:success:39 - You : open YouTube
2026-07-30 11:54:11.295 | INFO     | core.logger:info:35 - Processing Command : open youtube
2026-07-30 11:54:11.295 | INFO     | core.logger:info:35 - Action : OPEN_YOUTUBE
2026-07-30 11:54:11.295 | INFO     | core.logger:info:35 - Opening YouTube...
2026-07-30 11:54:11.807 | INFO     | core.logger:info:35 - Listening...
2026-07-30 11:54:25.925 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 11:54:30.748 | WARNING  | core.logger:warning:43 - Couldn't understand.
2026-07-30 11:54:30.996 | INFO     | core.logger:info:35 - Listening...
2026-07-30 11:54:34.996 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 11:54:37.162 | WARNING  | core.logger:warning:43 - Couldn't understand.
2026-07-30 11:54:37.332 | INFO     | core.logger:info:35 - Listening...
2026-07-30 11:54:56.713 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 11:55:40.797 | WARNING  | core.logger:warning:43 - Couldn't understand.
2026-07-30 11:55:41.153 | INFO     | core.logger:info:35 - Listening...
2026-07-30 11:55:47.700 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 11:55:52.359 | WARNING  | core.logger:warning:43 - Couldn't understand.
2026-07-30 11:55:52.638 | INFO     | core.logger:info:35 - Listening...
2026-07-30 11:56:02.092 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 11:56:09.005 | WARNING  | core.logger:warning:43 - Couldn't understand.
2026-07-30 11:56:09.441 | INFO     | core.logger:info:35 - Listening...
2026-07-30 11:56:12.564 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 11:56:14.168 | SUCCESS  | core.logger:success:39 - You : exit
2026-07-30 11:56:14.170 | INFO     | core.logger:info:35 - Processing Command : exit
2026-07-30 11:56:14.171 | INFO     | core.logger:info:35 - Action : EXIT
2026-07-30 14:25:37.870 | SUCCESS  | core.logger:success:39 - JARVIS Started Successfully
2026-07-30 14:25:48.816 | INFO     | core.logger:info:35 - Listening...
2026-07-30 14:25:52.846 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 14:25:56.033 | SUCCESS  | core.logger:success:39 - You : time
2026-07-30 14:25:56.034 | INFO     | core.logger:info:35 - Processing Command : time
2026-07-30 14:25:56.036 | INFO     | core.logger:info:35 - Action : GET_TIME
2026-07-30 14:25:56.037 | INFO     | core.logger:info:35 - 02:25 PM
2026-07-30 14:26:02.406 | INFO     | core.logger:info:35 - Listening...
2026-07-30 14:26:06.474 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 14:26:08.780 | SUCCESS  | core.logger:success:39 - You : today date
2026-07-30 14:26:08.781 | INFO     | core.logger:info:35 - Processing Command : today date
2026-07-30 14:26:08.782 | INFO     | core.logger:info:35 - Action : GET_DATE
2026-07-30 14:26:17.177 | INFO     | core.logger:info:35 - Listening...
